StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q21,Q1,Q3,Q2,Q4,Q5,Q5_6_TEXT,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_5_TEXT,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q10_1,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5
2022-11-16 19:10:52,2022-11-16 19:14:31,0,219.79.122.233,100,219,1,2022-11-16 19:14:33,R_2y31UyHqoP5lDPD,,,,,22.2908,114.1501,anonymous,EN,1,1,4,1,4,1,,1,1,4,3,2,5,,"1,2,5,6","3,4,5","1,2,3,4","1,2,3,4,6","3,4,5",10,1,2,3,4,5
2022-11-16 19:17:03,2022-11-16 19:56:08,0,124.217.189.55,100,2345,1,2022-11-16 19:56:10,R_21HyruF9cetOyOA,,,,,22.2908,114.1501,anonymous,EN,1,1,4,2,2,1,,3,1,3,2,4,5,,"1,2","3,4","3,4,5","1,3,4,6",2,20,1,3,2,5,4
2022-11-16 22:52:16,2022-11-16 22:55:48,0,116.92.226.245,100,212,1,2022-11-16 22:55:49,R_1I9R8xkBURTDLr7,,,,,22.2908,114.1501,anonymous,EN,1,1,4,6,3,1,,2,1,5,2,4,3,,"1,2,4,5,6","3,4,5",4,"1,3,4,6",2,7,1,3,2,5,4
2022-11-16 22:56:54,2022-11-16 23:01:40,0,202.189.108.159,100,286,1,2022-11-16 23:01:41,R_riEXQkFhhLsVTjP,,,,,22.2908,114.1501,anonymous,EN,1,2,5,2,2,1,,2,1,3,2,4,5,,"1,2,5",3,6,"1,4",3,15,1,3,2,4,5
2022-11-17 01:03:35,2022-11-17 01:13:07,0,104.28.69.130,100,571,1,2022-11-17 01:13:08,R_3nd8DWVX6bEAWko,,,,,22.2908,114.1501,anonymous,EN,1,1,4,1,2,1,,4,1,2,4,3,5,,"1,2,6","3,4,6",2,"1,3,4,6",5,35,2,3,1,4,5
2022-11-19 04:54:53,2022-11-19 04:57:04,0,172.226.180.37,100,130,1,2022-11-19 04:57:04,R_3NKQYmFQjn4x6ii,,,,,22.2908,114.1501,anonymous,EN,1,1,4,1,4,1,,1,2,3,1,4,5,,"1,2,4,5,6","3,4,5","1,2,3,4,5,6","1,2,3,4,6","2,4,5",10,2,3,1,4,5
2022-11-19 05:02:04,2022-11-19 05:04:59,0,210.6.164.39,100,174,1,2022-11-19 05:05:01,R_2QGstoTcRhVFS43,,,,,22.2908,114.1501,anonymous,EN,1,1,4,2,4,2,,1,1,2,5,3,4,,"1,2,5","3,4,6",3,"3,6",1,10,1,2,5,4,3
2022-11-19 05:11:23,2022-11-19 05:13:47,0,182.239.90.80,100,143,1,2022-11-19 05:13:48,R_31ZBaMa6g48zCKQ,,,,,22.2908,114.1501,anonymous,EN,1,1,3,2,4,1,,1,1,2,3,4,5,"I would come whatever ","1,2,3,4,5,6","3,4",6,"1,3",5,2,1,3,2,4,5
2022-11-19 05:40:18,2022-11-19 05:43:41,0,180.219.61.34,100,202,1,2022-11-19 05:43:41,R_ToAxQeSDHWutAoF,,,,,22.2908,114.1501,anonymous,EN,1,2,3,2,2,1,,2,1,2,4,3,5,,"1,2","3,5","1,2,3,4,5,6","1,3,6",5,12,3,2,1,5,4
2022-11-19 05:58:03,2022-11-19 06:01:03,0,61.92.204.55,100,179,1,2022-11-19 06:01:04,R_2PtepcPxaLdCkpd,,,,,22.2908,114.1501,anonymous,EN,1,2,2,1,3,1,,1,1,4,2,3,5,,"1,2,5",6,"3,4,6","3,4,6",5,5,1,2,3,5,4
2022-11-19 06:10:04,2022-11-19 06:12:19,0,1.36.126.127,100,134,1,2022-11-19 06:12:19,R_BSyvShnvd2uiA0x,,,,,22.2908,114.1501,anonymous,EN,1,1,5,1,3,1,,1,1,3,2,4,5,,"1,2,5",4,3,"3,6",3,15,1,3,4,2,5
2022-11-19 06:38:58,2022-11-19 06:42:26,0,14.0.180.150,100,207,1,2022-11-19 06:42:26,R_10ufW6emAr1Sbzy,,,,,22.2908,114.1501,anonymous,EN,1,2,5,2,1,1,,2,1,2,3,4,5,,"1,5,6",4,"1,2,4,6",1,3,10,2,3,1,4,5
2022-11-19 07:26:49,2022-11-19 07:32:46,0,123.202.24.210,100,357,1,2022-11-19 07:32:48,R_26gTghrJATzSil8,,,,,22.2908,114.1501,anonymous,EN,1,3,3,2,4,1,,1,1,4,3,2,5,,"1,2,4,5,6","3,4","1,3,4,5,6","1,3,4,6","5,6",8,2,3,1,5,4
2022-11-19 07:29:57,2022-11-19 07:37:01,0,182.239.89.85,100,423,1,2022-11-19 07:37:01,R_XYsmp52VmMsb1gR,,,,,22.2908,114.1501,anonymous,EN,1,1,3,1,1,1,,2,1,4,3,2,5,,"1,2,5,6","3,5","3,5,6","1,2,3,4,6","1,2,3,4,6",10,1,3,2,5,4
2022-11-19 08:08:15,2022-11-19 08:11:40,0,58.152.122.233,100,204,1,2022-11-19 08:11:40,R_32XyTXJz3bXahTj,,,,,22.2908,114.1501,anonymous,EN,1,1,3,1,2,2,,2,2,1,4,3,5,,"1,2,5","3,6","2,3","1,3,4",5,10,3,1,2,5,4
2022-11-12 10:03:03,2022-11-12 10:03:07,0,124.217.189.192,23,4,0,2022-11-19 10:03:12,R_C3vMP0wAuGXzrtT,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19 10:33:48,2022-11-19 10:37:20,0,113.253.227.69,100,211,1,2022-11-19 10:37:20,R_PO0t7M5GoqkIhaN,,,,,22.2908,114.1501,anonymous,EN,1,2,4,1,3,1,,2,1,4,3,2,5,,"1,2,5,6","3,4","2,3,4,6","3,4","3,5",10,2,3,1,5,4
2022-11-09 10:19:58,2022-11-12 19:15:50,0,61.93.73.4,23,291352,0,2022-11-19 19:15:55,R_2uPMaWeVLhReztB,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19 23:18:02,2022-11-19 23:23:55,0,43.225.11.104,100,353,1,2022-11-19 23:23:56,R_3CTvVxbvV2YGW4x,,,,,22.2908,114.1501,anonymous,EN,1,1,5,3,4,1,,1,2,4,1,3,5,,"1,2,3,4,5,6","4,5,6","3,4,5,6","1,3,4,6","3,5",10,1,4,3,2,5
2022-11-20 05:05:17,2022-11-20 05:07:13,0,116.92.226.244,100,116,1,2022-11-20 05:07:13,R_237wILZEPoKJ9CM,,,,,22.2908,114.1501,anonymous,EN,1,4,1,1,3,1,,2,1,2,3,4,5,,"1,5,6","3,4","2,3,6",1,5,8,1,4,3,5,2
2022-11-20 20:58:45,2022-11-20 21:03:02,0,49.130.130.162,100,256,1,2022-11-20 21:03:02,R_3kvae59ZifxkK04,,,,,22.2908,114.1501,anonymous,EN,1,2,3,3,1,1,,3,1,2,4,3,5,,2,3,6,1,5,20,2,3,1,4,5
2022-11-14 00:57:06,2022-11-14 00:57:15,0,172.226.180.46,23,9,0,2022-11-21 00:57:22,R_p5bBcsqLQeEyxwd,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19 06:50:09,2022-11-21 20:29:45,0,45.64.241.91,100,221975,1,2022-11-21 20:29:45,R_3pckis7rIBAN6qm,,,,,22.2908,114.1501,anonymous,EN,1,1,4,2,3,1,,2,1,4,2,3,5,,"1,2,5",3,"2,5,6","1,3",5,10,1,2,3,5,4
2022-11-22 17:35:25,2022-11-22 17:39:06,0,81.223.98.246,100,220,1,2022-11-22 17:39:06,R_1QAuXI2YyLqLgfC,,,,,47.2637,11.4016,anonymous,EN,1,2,4,2,1,1,,1,1,2,4,3,5,,"1,2,4,5,6",3,"2,3,6","1,3,6",2,8,2,3,1,4,5
2022-11-16 07:50:13,2022-11-16 07:50:21,0,137.189.241.32,23,7,0,2022-11-23 07:50:30,R_W6ULYFEhEklhHoZ,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-16 08:02:32,2022-11-16 08:02:45,0,14.198.105.101,23,12,0,2022-11-23 08:02:48,R_2sbSPhvrbhE5qZy,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-16 18:27:12,2022-11-16 18:27:25,0,175.159.212.98,23,13,0,2022-11-23 18:27:28,R_3ptG810NEVKmuhC,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-24 00:33:31,2022-11-24 00:38:00,0,138.19.171.7,100,268,1,2022-11-24 00:38:00,R_302H3avH4DhMMiW,,,,,22.2908,114.1501,anonymous,EN,1,2,3,1,3,1,,3,1,3,4,2,5,,"2,5,6",4,3,6,3,10,1,2,3,5,4
2022-11-19 05:48:59,2022-11-19 05:49:15,0,61.244.192.118,23,16,0,2022-11-26 05:49:18,R_3sv8UopJRgaOHeh,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19 05:56:22,2022-11-19 05:56:27,0,124.244.142.3,23,5,0,2022-11-26 05:56:29,R_1r7hWxqt6mSGDtE,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19 06:34:17,2022-11-19 06:34:26,0,5.151.178.16,23,8,0,2022-11-26 06:34:31,R_AsNiLSoOGAW4kff,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19 07:25:39,2022-11-19 07:25:51,0,14.0.180.80,23,11,0,2022-11-26 07:25:58,R_SC7BTunqXn4mmYN,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19 08:11:54,2022-11-19 08:12:50,0,218.250.222.135,23,55,0,2022-11-26 08:12:56,R_3jdu676IasYn46Y,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19 19:08:06,2022-11-19 19:08:25,0,218.102.55.93,23,18,0,2022-11-26 19:08:30,R_1Lv7hOju9O2m9Pb,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-26 22:30:16,2022-11-26 22:37:47,0,175.159.182.196,100,451,1,2022-11-26 22:37:47,R_3NV95RZlBgKefk0,,,,,22.2908,114.1501,anonymous,EN,1,2,3,1,3,1,,3,4,2,3,1,5,,"1,2,5","3,4,5","3,4,5,6","1,3,4,6",5,12,3,2,1,4,5
2022-11-26 22:39:40,2022-11-26 22:41:34,0,203.145.95.39,100,114,1,2022-11-26 22:41:34,R_2DOYOSMttGdQZ6Y,,,,,22.2908,114.1501,anonymous,EN,1,1,5,6,4,4,,1,1,2,3,4,5,,6,3,3,1,2,1.9,2,3,4,1,5
2022-11-26 22:46:25,2022-11-26 22:49:13,0,223.16.188.132,100,167,1,2022-11-26 22:49:15,R_PM7BwiS6psa9i4F,,,,,22.2908,114.1501,anonymous,EN,1,2,1,2,1,1,,1,1,2,5,3,4,,"2,5,6",3,"2,4","1,4",5,5,1,3,4,2,5
2022-11-26 22:50:14,2022-11-26 22:53:57,0,175.159.213.246,100,222,1,2022-11-26 22:53:57,R_2xRGaks3mQ60fu5,,,,,22.2908,114.1501,anonymous,EN,1,2,3,1,1,1,,3,1,2,4,3,5,,"1,6",5,"3,5,6","3,4,6","3,4",10,1,2,3,4,5
2022-11-19 05:47:32,2022-11-19 23:33:23,0,61.244.192.118,23,63950,0,2022-11-26 23:33:25,R_2ZCXzscsBWFQvEn,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27 03:35:07,2022-11-27 03:37:19,0,175.159.215.141,100,131,1,2022-11-27 03:37:20,R_2sZwE4J6mrZNkaf,,,,,22.2908,114.1501,anonymous,EN,1,2,3,1,2,1,,3,1,2,3,4,5,,"1,2,5",3,"2,3,4",1,5,30,2,3,1,5,4
2022-11-27 03:33:25,2022-11-27 03:37:40,0,115.160.184.183,100,254,1,2022-11-27 03:37:40,R_OPd5p6d1USerzG1,,,,,22.2908,114.1501,anonymous,EN,1,1,5,6,3,1,,5,2,4,1,3,5,,5,4,3,1,4,5,1,2,3,5,4
2022-11-27 03:34:24,2022-11-27 03:37:48,0,49.130.129.167,100,204,1,2022-11-27 03:37:48,R_1n0me1XUE1fMWjM,,,,,22.2908,114.1501,anonymous,EN,1,2,4,2,2,1,,4,2,1,3,4,5,,"1,2,5","3,4,5,6",6,"3,4","3,4,5",50,3,2,1,5,4
2022-11-27 03:35:11,2022-11-27 03:37:49,0,61.238.187.1,100,157,1,2022-11-27 03:37:51,R_1qWDn1HiNeR2BET,,,,,22.3163,114.1842,anonymous,EN,1,2,4,1,3,1,,2,1,4,3,2,5,,"1,2,5,6",4,"1,2,3,4,5,6","1,3,6",5,8,2,3,1,5,4
2022-11-27 03:36:49,2022-11-27 03:39:40,0,14.0.236.45,100,171,1,2022-11-27 03:39:40,R_2ZCVsLrQDOD4eqF,,,,,22.2908,114.1501,anonymous,EN,1,1,4,3,3,1,,2,1,2,4,3,5,,"1,2,5,6","3,4","3,5","2,3,4",5,15,2,3,1,4,5
2022-11-27 03:38:22,2022-11-27 03:40:18,0,202.161.35.16,100,116,1,2022-11-27 03:40:18,R_2tmvesWPD2WtQSA,,,,,1.3057,103.8586,anonymous,EN,1,1,4,2,1,1,,2,2,3,1,4,5,,"2,5,6",3,3,1,5,13,1,2,3,5,4
2022-11-27 03:37:43,2022-11-27 03:41:09,0,155.137.158.23,100,205,1,2022-11-27 03:41:09,R_1opuQp9q8GJOPmY,,,,,22.2908,114.1501,anonymous,EN,1,2,4,1,3,1,,1,1,2,4,3,5,,"1,2,4,5,6",3,3,"3,4",5,7,1,2,4,3,5
2022-11-27 03:42:18,2022-11-27 03:44:33,0,202.189.109.222,100,134,1,2022-11-27 03:44:33,R_9nr5to2GYf7Ixwd,,,,,22.2908,114.1501,anonymous,EN,1,2,2,1,4,1,,1,1,2,4,3,5,,"1,2",3,"3,5","1,3",3,16,1,2,3,4,5
2022-11-27 03:43:38,2022-11-27 03:46:23,0,182.239.89.127,100,164,1,2022-11-27 03:46:23,R_2zxc0RlC7lm4RdQ,,,,,22.2908,114.1501,anonymous,EN,1,2,4,4,3,2,,1,3,2,4,1,5,,"1,2,4,5",3,6,"1,6",5,3,2,1,4,3,5
2022-11-27 03:54:38,2022-11-27 03:57:44,0,182.239.89.228,100,185,1,2022-11-27 03:57:46,R_3kM87hoYdVU8qwU,,,,,22.2908,114.1501,anonymous,EN,1,1,3,2,4,2,,1,2,1,4,3,5,,2,"3,4,6",6,1,3,8,2,1,3,4,5
2022-11-27 04:13:04,2022-11-27 04:15:33,0,42.3.82.237,100,148,1,2022-11-27 04:15:35,R_1Q9oI5Dsx8fainu,,,,,22.2908,114.1501,anonymous,EN,1,1,4,2,3,1,,3,1,4,3,2,5,,"1,5","3,4,6","1,3,4,6","1,3,4,6",5,10,3,2,1,4,5
2022-11-27 04:40:07,2022-11-27 04:43:27,0,138.19.27.180,100,200,1,2022-11-27 04:43:27,R_UhBji4ITatggshj,,,,,22.2908,114.1501,anonymous,EN,1,1,3,2,3,1,,2,3,2,4,1,5,,"2,5,6","3,4",3,"1,3,6","3,5",10,1,2,3,4,5
2022-11-27 04:46:38,2022-11-27 04:48:54,0,223.17.78.246,100,136,1,2022-11-27 04:48:56,R_31hZUBS7Slfgc7e,,,,,22.2908,114.1501,anonymous,EN,1,2,4,1,1,1,,2,2,3,1,4,5,,"1,2,3,5",3,5,1,"3,5",15,1,2,4,5,3
2022-11-27 04:45:06,2022-11-27 04:51:48,0,45.64.242.197,100,401,1,2022-11-27 04:51:48,R_2aWd0kXXkJU2gPw,,,,,22.2908,114.1501,anonymous,EN,1,2,4,2,1,2,,3,3,1,4,2,5,,"1,2,5","3,6","1,3,4,5,6","1,3,4,6",2,20,2,1,3,4,5
2022-11-27 04:57:10,2022-11-27 04:59:53,0,175.159.123.104,100,162,1,2022-11-27 04:59:53,R_2wh20gT2zzmPlWe,,,,,22.2908,114.1501,anonymous,EN,1,2,4,1,2,1,,5,1,2,4,3,5,,"1,2",3,1,"1,3,4",6,20,1,3,4,2,5
2022-11-27 05:21:40,2022-11-27 05:25:02,0,203.160.86.79,100,202,1,2022-11-27 05:25:04,R_1kZTDTumAAXa81e,,,,,22.2908,114.1501,anonymous,EN,1,2,4,3,4,2,,1,1,4,5,2,3,How much energy i have,2,"3,4","2,3",1,"2,3,5",8,3,1,5,2,4
2022-11-27 05:27:50,2022-11-27 05:30:42,0,222.167.201.27,100,172,1,2022-11-27 05:30:43,R_QbGJ6uYnXjCdbDb,,,,,22.2908,114.1501,anonymous,EN,1,2,4,1,3,1,,2,1,4,3,2,5,,"1,2,4,5,6",5,4,"1,3,6","2,5,6",10,1,3,2,4,5
2022-11-27 07:01:14,2022-11-27 07:19:23,0,123.202.194.249,100,1089,1,2022-11-27 07:19:25,R_6nur8sXWSe2ALoR,,,,,22.2908,114.1501,anonymous,EN,1,1,4,1,3,1,,3,1,3,4,2,5,,"2,5",3,"2,3,4,6","1,3,6","3,5",13,2,3,1,4,5
2022-11-27 08:07:53,2022-11-27 08:09:59,0,223.19.35.24,100,125,1,2022-11-27 08:10:00,R_2UhHpL89limjuc7,,,,,22.2908,114.1501,anonymous,EN,1,1,2,3,3,1,,1,1,4,2,3,5,,"2,5,6","3,4",6,"1,3,4,6","3,5",20,1,2,3,5,4
2022-11-27 08:58:20,2022-11-27 09:01:36,0,104.28.66.131,100,196,1,2022-11-27 09:01:38,R_12xbPfKj0j2D4ei,,,,,22.2908,114.1501,anonymous,EN,1,1,4,2,1,1,,2,1,2,3,4,5,,"1,2,5,6","3,4","3,5","1,3,4",3,8,2,3,1,4,5
2022-11-27 09:35:56,2022-11-27 09:39:56,0,202.189.110.73,100,240,1,2022-11-27 09:39:56,R_33vEIjYP1ntGpS0,,,,,22.2908,114.1501,anonymous,EN,1,2,3,1,2,1,,1,2,4,3,1,5,,"1,2,5,6",3,"1,5",1,5,10,1,3,2,4,5
2022-11-27 12:40:52,2022-11-27 12:46:47,0,175.159.214.41,100,355,1,2022-11-27 12:46:48,R_3ltUlizUKCHKAxO,,,,,22.2908,114.1501,anonymous,EN,1,2,2,1,2,6,Walk,3,4,3,2,1,5,,"2,5","1,3,4,5,6","1,2,3,4,5,6","1,2,3,4,6","3,5",30,3,2,1,4,5
2022-11-27 14:43:16,2022-11-27 14:47:31,0,223.18.208.22,100,255,1,2022-11-27 14:47:32,R_1NwDyChi86eMMlN,,,,,22.2908,114.1501,anonymous,EN,1,1,5,1,1,1,,4,1,3,2,4,5,,"1,2,5","3,5",5,"1,3",5,15,1,2,3,5,4
2022-11-27 22:01:20,2022-11-27 22:03:33,0,203.145.95.3,100,132,1,2022-11-27 22:03:34,R_1mLt2VJPRoAKMDm,,,,,22.2908,114.1501,anonymous,EN,1,2,3,1,2,1,,4,1,3,4,2,5,,"1,5,6","3,4",3,"1,3,6","2,5",25,2,1,3,5,4
